vat,rabat,cena_netto,ean,nazwa_towaru,ilosc,kategoria
8,0,4.84,5902741003126,Herbatka Odkwaszaj¹ca EKO 25x2g,1,None
8,0,4.29,5902741003386,Herbatka Mi³orzêbowa 50g,1,None
8,0,4.51,5902741005175,Herbatka Polec.przy nadm.cholesterolu EKO 50g,1,None
8,0,5.28,5902741000965,Herbatka Owocowy raj EKO 100g,10,None
8,0,8.91,5902741004413,Herbatka Samo zdrowie EKO 100g,1,None
8,0,10.78,5902741000491,Kawa z nasion konopi EKO (tuba) 200g,1,None
8,0,9.35,5902741000910,Kawa ¿o³êdziówka EKO (tuba) 200g,1,None
8,0,10.45,5902741007582,Kawa z topinamburu EKO (tuba) 200g,1,None
8,0,8.8,5902768527131,Kawa orkiszowa EKO (tuba) 200g,1,None
8,0,3.08,5902741000385,Kurkuma (kartonik) 50g,2,None
8,0,5.39,5902741000422,Any¿ gwiazdkowy (kartonik) 30g,2,None
8,0,3.3,5902741001245,Cynamon mielony (kartonik) 60g,2,None
8,0,3.3,5902741001658,Imbir (kartonik) 60g,4,None
8,0,4.4,5902741001771,GoŸdziki (kartonik) 30g,10,None
8,0,5.17,5902741002525,Cynamon laska (kartonik) 40g,2,None
8,0,5.28,5902741003317,Ga³ka muszkato³owa ca³a 30g,1,None
8,0,2.53,5902741000231,Czubryca (kartonik) 30g,1,None
0,0,3.41,5902741002150,Podlaska przyprawa do roso³u (kartonik) 50g,3,None
8,0,3.19,5902741003478,Podlaska przyprawa do zupy pomidorowej 40g,1,None
8,0,4.73,5902741003546,Podlaska przyprawa do pierników (karonik) 60g,5,None
8,0,4.73,5902741004529,Przyprawa do kawy (kartonik) 50g,4,None
0,0,8.8,5902741009043,Konfitura z borówki amerykañskiej (wysokiej) EKO 180g,1,None
8,0,8.03,5902741006479,Cukier ró¿any EKO 150g,1,None
8,0,5.72,5902741006103,Herbatka Na dobranoc EKO 25x2g,6,None
8,0,4.95,5902741004390,Herbatka Body Line EKO - herbatka w piramidkach 15x2g,2,None
8,0,5.72,5902741004321,Herbatka Ró¿ana EKO - herbatka w piramidkach 15x3g,2,None
8,0,4.95,5902741005328,Herbatka Dla nerwusów EKO 25x1.5g,10,None
8,0,5.39,5902741005281,Herbatka Polecana przy cukrzycy EKO 25x2g,5,None
0,0,9.9,5902581617187,Konfitura z dzikiej ró¿y EKO 180g,5,None
8,0,6.27,5902741006301,Przyprawa do grzañca 50g,3,None
0,0,9.35,5902581617170,Konfitura z ¿urawiny EKO 180g,1,None
8,0,4.84,5902741005762,Herbatka Polecana przy nadmiarze cholesterolu EKO 25x1.5g,4,None
8,0,6.05,5902581617620,Herbatka Dobry humor EKO 25x2g,15,None
8,0,3.96,5902581618177,Herbatka Na dzieñ dobry EKO 25x1.5g,10,None
8,0,4.51,5902581618108,Herbatka Owocowy raj EKO 25x2.5g,6,None
8,0,9.46,5902581617095,Kawa z korzenia cykorii EKO 200g,1,None
23,0,7.7,5902581617613,Herbata Czarna EKO 25x1.5g,2,None
23,0,7.7,5902581617279,Herbata Zielona liœciasta EKO 25x1.5g,2,None
23,0,8.25,5902581617514,Herbata Zielona Relaksuj¹ca EKO 25x2g,1,None
8,0,4.95,5902581618276,Herbatka Ciœnienie krwi EKO 25x2g - Suplement diety,1,None
8,0,4.84,5902581618290,Herbatka Dla serduszka EKO 25x2g - Suplement diety,2,None
8,0,4.84,5902581618283,Herbatka B¹dŸ Optymist¹ EKO 25x2g - Suplement diety,6,None
8,0,5.28,5902581618061,Herbatka Gripoherbs EKO 25x2g - Suplement diety,1,None
8,0,5.28,5902581618306,Herbatka Zdrowe nerki EKO 25x1.5g - Suplement diety,4,None
8,0,4.18,5902581618351,Herbatka Oczyszczanie EKO 50g - Suplement diety,1,None
8,0,4.84,5902581618313,Herbatka Oczyszczanie EKO 25x1.5g - Suplement diety,1,None
8,0,5.39,5903246860986,Herbatka Witaminka EKO 25x2.5g,2,None
0,0,7.15,5903246860641,Mus dla serduszka EKO 190g,5,None
8,0,8.03,5903246861631,Herbatka Owoce lasu EKO 25x2.5g,2,None
8,0,5.5,5903246861976,Herbatka dla dzieci Krasnoludek EKO 25x2g,1,None
8,0,5.61,5903246862027,Herbatka Bio energia EKO 25x2g,5,None
8,0,22,5903246862553,Kolekcja herbatek Zio³owych EKO - 90 saszetek,1,None
8,0,5.5,5903246860368,Herbatka Mi³orzêbowa 25x2g,2,None
8,0,9.13,5903246863260,Herbatka na patyku Dzikie zio³a EKO 2x2.9g,1,None
8,0,10.78,5903246863246,Herbatka na patyku £¹ka motyli EKO 2x4.5g,1,None
8,0,10.78,5903246863222,Herbatka na patyku Relaks EKO 2x2.3g,1,None
8,0,9.13,5903246863253,Herbatka na patyku Rozgrzewaj¹ca EKO 2x6g,1,None
8,0,9.13,5903246863215,Herbatka na patyku Zio³owy ogród EKO 2x2.4g,1,None
8,0,5.28,5903246863628,Herbatka Rumiankowo-imbirowa EKO 25x1g,2,None
8,0,4.62,5903246863840,Herbatka Odpornoœæ EKO 25x2g,2,None
0,0,3.52,5903246864472,Czyœciec leœny ziele EKO 20g,1,None
8,0,4.84,5903246864410,Herbatka Zgagoherbs EKO 25x2g,1,None
8,0,5.72,5903246864595,Herbatka Romeo i Julia EKO 40g (2x20g),2,None
8,0,9.13,5903246864847,Herbatka na patyku Melisa EKO 2x4.85g,1,None
8,0,9.13,5903246864762,Herbatka na patyku Nagietek EKO 2x6.4g,1,None
8,0,8.69,5903246865370,Cukier chabrowy EKO 150g,1,None
8,0,5.83,5903246865301,Herbatka Zio³owy Zak¹tek EKO 80g,1,None
0,0,9.9,5903246865462,Herbata Rooibos EKO 100g,2,None
0,0,7.7,5903246865486,Herbatka Rooibos EKO 25x1.5g,1,None
8,0,8.03,5903246866643,Herbatka Dary Natury EKO 60g,4,None
8,0,14.08,5903246866650,Kawa z korzenia mniszka lekarskiego EKO 200g,1,None
23,0,9.35,5903246866810,Herbata Zielona z Opuncj¹ EKO 25x2g,1,None
8,0,8.14,5903246869750,H. Bomba witaminowa EKO - herbatka w piramidkach 15x3g,4,None
8,0,10.23,5903246869934,Herbatka Bomba witaminowa EKO 100g,3,None
