Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
5902741003775;12,10;12,71;FV/1017/03/21/KORP;8544;Różeniec górski kłącze EKO 50g;3.0000;szt;5,00;36,30;38,12
5902741000491;8,58;9,27;FV/1017/03/21/KORP;8843;Kawa z nasion konopi EKO (tuba) 200g;4.0000;szt;8,00;34,32;37,07
5902741000385;2,42;2,61;FV/1017/03/21/KORP;8937;Kurkuma (kartonik) 50g;6.0000;szt;8,00;14,52;15,68
5902741000422;3,41;3,68;FV/1017/03/21/KORP;8941;Anyż gwiazdkowy (kartonik) 30g;4.0000;szt;8,00;13,64;14,73
5902741001849;1,87;1,96;FV/1017/03/21/KORP;8966;Oregano (kartonik) 20g;1.0000;szt;5,00;1,87;1,96
5902741002525;3,63;3,92;FV/1017/03/21/KORP;8975;Cynamon laska (kartonik) 40g;4.0000;szt;8,00;14,52;15,68
5902741002921;1,65;1,73;FV/1017/03/21/KORP;8978;Gorczyca czarna (kartonik) 70g;2.0000;szt;5,00;3,30;3,47
5902741003317;4,73;5,11;FV/1017/03/21/KORP;8992;Gałka muszkatołowa cała 30g;1.0000;szt;8,00;4,73;5,11
5902741009807;2,53;2,73;FV/1017/03/21/KORP;9012;Ziele angielskie mielone 50g (kartonik);3.0000;szt;8,00;7,59;8,20
5902741002020;2,97;3,21;FV/1017/03/21/KORP;9028;Podlaska przyprawa myśliwska (kartonik) 50g;3.0000;szt;8,00;8,91;9,62
5902741002150;2,86;3,00;FV/1017/03/21/KORP;9040;Podlaska przyprawa do rosołu (kartonik) 50g;1.0000;szt;5,00;2,86;3,00
5902741003508;2,20;2,38;FV/1017/03/21/KORP;9065;Podlaska przyprawa do dań z jaj 30g;11.0000;szt;8,00;24,20;26,14
5902741003522;2,31;2,49;FV/1017/03/21/KORP;9067;Podlaska przyprawa do peklowania mięsa 40g;10.0000;szt;8,00;23,10;24,95
5902768527353;4,29;4,63;FV/1017/03/21/KORP;9079;Przyprawa pomidorowo-czosnkowa z czarnuszką 40g;4.0000;szt;8,00;17,16;18,53
5902741005755;3,41;3,68;FV/1017/03/21/KORP;12411;Herbatka Polecana przy zaparciach EKO 25x2g;2.0000;szt;8,00;6,82;7,37
5902741006103;4,51;4,87;FV/1017/03/21/KORP;12412;Herbatka Na dobranoc EKO 25x2g;4.0000;szt;8,00;18,04;19,48
5902741005892;3,85;4,16;FV/1017/03/21/KORP;12608;Herbatka Dla żołądkowców EKO 25x2g;1.0000;szt;8,00;3,85;4,16
5902741005281;4,29;4,63;FV/1017/03/21/KORP;12609;Herbatka Polecana przy cukrzycy EKO 25x2g;2.0000;szt;8,00;8,58;9,27
5902581618467;7,70;9,47;FV/1017/03/21/KORP;12784;Herbata Zielona liściasta EKO 80g;2.0000;szt;23,00;15,40;18,94
5902581617620;4,84;5,23;FV/1017/03/21/KORP;13064;Herbatka Dobry humor EKO 25x2g;2.0000;szt;8,00;9,68;10,45
5902581617118;3,30;3,56;FV/1017/03/21/KORP;13300;Herbatka Dla serduszka EKO 50g - Suplement diety;1.0000;szt;8,00;3,30;3,56
5902581618306;4,18;4,51;FV/1017/03/21/KORP;13308;Herbatka Zdrowe nerki EKO 25x1,5g - Suplement diety;1.0000;szt;8,00;4,18;4,51
5903246860306;10,78;11,32;FV/1017/03/21/KORP;14463;"Proszek owocowy ""Witaminka"" EKO 200g";1.0000;szt;5,00;10,78;11,32
5903246862430;29,70;32,08;FV/1017/03/21/KORP;14756;Herbatka na patyku Dzikie zioła EKO 8x2,9g;1.0000;szt;8,00;29,70;32,08
5903246862447;29,70;32,08;FV/1017/03/21/KORP;14758;Herbatka na patyku Relaks EKO 8x2,3g;1.0000;szt;8,00;29,70;32,08
5903246862560;29,70;32,08;FV/1017/03/21/KORP;15041;Herbatka na patyku Łąka motyli EKO 8x4,5g;1.0000;szt;8,00;29,70;32,08
5903246862706;29,70;32,08;FV/1017/03/21/KORP;15172;Herbatka na patyku Kolekcja EKO 8x3,4g;1.0000;szt;8,00;29,70;32,08
5903246862553;19,25;20,79;FV/1017/03/21/KORP;15222;Kolekcja herbatek Ziołowych EKO - 90 saszetek;2.0000;szt;8,00;38,50;41,58
5903246860368;4,51;4,87;FV/1017/03/21/KORP;15574;Herbatka Miłorzębowa 25x2g;1.0000;szt;8,00;4,51;4,87
5903246863260;8,25;8,91;FV/1017/03/21/KORP;15654;Herbatka na patyku Dzikie zioła EKO 2x2,9g;1.0000;szt;8,00;8,25;8,91
5903246864007;20,90;22,57;FV/1017/03/21/KORP;15770;Domowy Zielnik - Bukiet Kwiatowy Eko 80g;1.0000;szt;8,00;20,90;22,57
5903246864519;3,96;4,28;FV/1017/03/21/KORP;15953;Herbatka na tarczycę EKO 25x2g;3.0000;szt;8,00;11,88;12,83
5903246864366;4,18;4,51;FV/1017/03/21/KORP;16015;Herbatka Zdrowe tętnice EKO 25x2g (miażdżyca);3.0000;szt;8,00;12,54;13,54
5903246864359;3,85;4,16;FV/1017/03/21/KORP;16126;Herbatka krążenie EKO 25x2g;2.0000;szt;8,00;7,70;8,32
5903246864717;4,40;4,75;FV/1017/03/21/KORP;16374;Herbatka Wiosenna EKO 50g;2.0000;szt;8,00;8,80;9,50
5903246865301;5,83;6,30;FV/1017/03/21/KORP;18335;Herbatka Ziołowy Zakątek EKO 80g;2.0000;szt;8,00;11,66;12,59
5903246866308;10,56;11,09;FV/1017/03/21/KORP;18883;Mieszanka studencka EKO 200g;2.0000;szt;5,00;21,12;22,18
5903246866582;2,75;3,38;FV/1017/03/21/KORP;18946;Sól kłodawska Biała 500g;2.0000;szt;23,00;5,50;6,77
5903246866490;11,33;11,90;FV/1017/03/21/KORP;18950;Tarczyca bajkalska korzeń EKO 100g;1.0000;szt;5,00;11,33;11,90
5903246866643;8,03;8,67;FV/1017/03/21/KORP;18963;Herbatka Dary Natury EKO 60g;6.0000;szt;8,00;48,18;52,03
